host_epoch,t_rel,esp_local_timestamp_us,seq,mac,rssi,noise_floor,rate,mcs,bandwidth,channel,secondary_channel,sig_len,num_subcarriers,amplitude_json,phase_json
1786700249.725970,17.376058,15661636,0,0c:f0:b4:a0:6a:a0,-43,-97,11,7,1,11,2,66,64,"[73.3485, 4.0, 0.0, 0.0, 0.0, 1.0, 2.2361, 2.8284, 8.6023, 13.8924, 19.7231, 24.1868, 28.178, 30.4138, 31.7648, 31.7648, 30.4138, 28.178, 25.9422, 20.5913, 15.6525, 10.2956, 3.6056, 3.1623, 9.2195, 14.5602, 20.2485, 25.2982, 28.7924, 31.9531, 33.8378, 33.8378, 16.7631, 29.7321, 27.2029, 23.0868, 17.72, 11.4018, 4.1231, 2.2361, 8.0623, 14.3178, 21.0238, 26.0, 30.4631, 33.1059, 34.4384, 35.3412, 33.541, 31.7648, 28.6531, 24.1868, 18.868, 12.2066, 5.0, 1.4142, 7.0711, 12.7279, 16.9706, 5.0, 0.0, 0.0, 0.0, 0.0]","[1.11934, 1.5708, 0.0, 0.0, 0.0, 3.14159, 2.67795, -0.7854, -0.62025, -0.52807, -0.53172, -0.51915, -0.47952, -0.47835, -0.49181, -0.49181, -0.47835, -0.47952, -0.48089, -0.5071, -0.46365, -0.5071, -0.588, 2.81984, 2.92292, 2.86329, 2.7886, 2.81984, 2.78689, 2.79015, 2.8105, 2.8105, 2.83871, 2.79857, 2.84309, 2.83354, 2.85554, 2.87534, 2.89661, -0.46365, -0.51915, -0.43241, -0.44237, -0.39479, -0.40489, -0.43663, -0.45066, -0.43834, -0.46365, -0.49181, -0.51049, -0.51915, -0.5586, -0.61073, -0.6435, 2.35619, 2.35619, 2.35619, 2.35619, 2.49809, 0.0, 0.0, 0.0, 0.0]"
1786700249.765547,17.415635,15725145,1,0c:f0:b4:a0:6a:a0,-43,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 1.4142, 2.2361, 2.2361, 7.2801, 12.3693, 15.5242, 18.4391, 21.587, 23.7697, 25.7099, 25.9615, 25.0, 23.0868, 19.9249, 16.7631, 12.6491, 8.544, 3.1623, 2.0, 7.2801, 11.7047, 16.7631, 20.2485, 23.4094, 25.632, 26.9258, 26.9258, 12.6491, 24.6982, 22.4722, 18.3848, 13.9284, 9.4868, 4.1231, 1.4142, 6.7082, 12.083, 17.4642, 21.0238, 24.1661, 26.0, 27.8568, 28.7924, 28.4605, 26.2488, 22.1359, 18.6815, 14.5602, 9.4868, 4.4721, 1.4142, 6.0828, 11.0454, 15.0333, 4.1231, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, -2.35619, -2.03444, 2.03444, 1.8491, 1.81577, 1.8314, 1.78947, 1.80454, 1.82598, 1.80634, 1.84381, 1.85459, 1.87885, 1.87668, 1.87368, 1.89255, 1.92957, 1.89255, -1.5708, -1.2925, -1.22203, -1.26791, -1.21781, -1.22203, -1.21203, -1.19029, -1.19029, -1.24905, -1.19781, -1.20682, -1.18019, -1.20362, -1.24905, -1.32582, 2.35619, 2.03444, 1.99742, 1.98321, 2.01317, 1.99742, 1.96559, 1.93797, 1.9255, 1.89255, 1.8805, 1.89255, 1.84174, 1.8491, 1.89255, 2.03444, -2.35619, -1.73595, -1.66146, -1.63736, -1.81577, 0.0, 0.0, 0.0, 0.0]"
1786700249.805420,17.455507,15729986,2,0c:f0:b4:a0:6a:a0,-42,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 5.099, 22.0907, 22.0227, 21.0238, 20.0, 17.0, 14.0, 11.0, 7.0, 3.1623, 2.2361, 6.3246, 11.1803, 15.2971, 18.4391, 20.3961, 22.561, 24.7386, 24.7386, 23.7697, 21.8403, 19.9249, 16.4924, 12.3693, 8.544, 4.1231, 1.0, 2.2361, 11.7047, 13.9284, 17.088, 20.6155, 22.4722, 23.4094, 23.7697, 23.7697, 21.5407, 19.3132, 16.1555, 11.7047, 7.6158, 3.6056, 2.0, 6.7082, 11.7047, 15.5242, 19.6469, 22.561, 24.5153, 25.318, 25.318, 24.1868, 22.0907, 20.025, 5.099, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, -0.1974, -0.09066, -0.04542, -0.04758, 0.0, 0.0, 0.0, 0.0, 0.0, -0.32175, -2.67795, -2.81984, -2.96174, -2.9442, -2.92292, -2.9442, -2.91812, -2.89661, -2.89661, -2.88641, -2.86329, -2.83571, -2.89661, -2.89661, -2.78282, -2.89661, -1.5708, 0.46365, 0.34877, 0.36717, 0.35877, 0.39852, 0.36398, 0.34877, 0.38832, 0.38832, 0.38051, 0.37089, 0.38051, 0.34877, 0.40489, 0.588, 3.14159, -2.67795, -2.79282, -2.88099, -2.88427, -2.91812, -2.9362, -2.98294, -2.98294, -3.01724, -3.05093, -3.09163, -2.9442, 0.0, 0.0, 0.0, 0.0]"
1786700249.843633,17.493720,15803686,3,0c:f0:b4:a0:6a:a0,-38,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 3.0, 12.1655, 12.1655, 12.1655, 11.1803, 9.0554, 8.0623, 6.0, 3.0, 1.0, 1.4142, 4.1231, 6.0828, 9.0554, 11.1803, 12.1655, 13.0384, 13.0384, 13.0384, 13.0384, 12.0416, 11.0454, 9.0554, 7.0711, 4.1231, 2.2361, 0.0, 1.0, 6.0, 8.0, 10.0, 11.0, 12.0, 13.0, 13.0, 13.0384, 12.0416, 10.0499, 9.0554, 6.0, 4.1231, 2.2361, 1.4142, 3.6056, 6.3246, 9.2195, 10.4403, 12.3693, 13.6015, 13.6015, 13.9284, 13.0, 12.083, 11.1803, 3.6056, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, 1.5708, 1.40565, 1.40565, 1.40565, 1.39094, 1.46014, 1.44644, 1.5708, 1.5708, 1.5708, -2.35619, -1.81577, -1.73595, -1.68145, -1.75065, -1.73595, -1.64757, -1.64757, -1.64757, -1.64757, -1.65394, -1.66146, -1.68145, -1.71269, -1.81577, -2.03444, 0.0, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.64757, 1.65394, 1.67046, 1.68145, 1.5708, 1.81577, 2.03444, -2.35619, -2.1588, -1.89255, -1.78947, -1.86225, -1.81577, -1.8693, -1.8693, -1.93797, -1.96559, -1.99742, -2.03444, -2.1588, 0.0, 0.0, 0.0, 0.0]"
1786700249.882941,17.533028,15839829,4,0c:f0:b4:a0:6a:a0,-39,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 5.0, 21.0238, 20.1246, 20.1246, 17.8885, 15.6525, 13.8924, 10.2956, 6.4031, 2.8284, 2.0, 5.3852, 9.8489, 12.53, 16.1245, 18.3576, 21.095, 21.6333, 21.6333, 20.2485, 18.868, 16.6433, 14.4222, 10.8167, 7.2111, 3.1623, 1.0, 2.8284, 10.6301, 13.4536, 16.2788, 19.8494, 20.6155, 21.2603, 21.2603, 21.2603, 19.8494, 18.4391, 14.8661, 11.3137, 7.0711, 3.6056, 2.2361, 5.3852, 9.8489, 13.4164, 16.5529, 19.6977, 21.5407, 22.4722, 22.1359, 20.8806, 19.6469, 18.4391, 5.099, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, 2.2143, 2.01317, 2.03444, 2.03444, 2.03444, 2.03444, 2.09887, 2.07789, 2.24554, 2.35619, -1.5708, -1.19029, -1.15257, -1.07145, -1.05165, -1.05841, -1.02225, -0.98279, -0.98279, -0.99649, -1.0122, -0.99946, -0.98279, -0.98279, -0.98279, -1.24905, 3.14159, 2.35619, 2.28963, 2.30361, 2.31274, 2.28489, 2.25311, 2.28963, 2.28963, 2.28963, 2.28489, 2.27942, 2.30861, 2.35619, 2.35619, 2.55359, -2.03444, -1.19029, -1.15257, -1.10715, -1.13417, -1.15257, -1.19029, -1.20682, -1.24905, -1.27934, -1.31347, -1.35213, -1.3734, 0.0, 0.0, 0.0, 0.0]"
1786700249.921494,17.571581,15886127,5,0c:f0:b4:a0:6a:a0,-42,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 5.099, 22.0907, 22.0907, 21.095, 20.0998, 17.1172, 14.1421, 11.1803, 7.2801, 2.2361, 2.0, 6.0828, 11.1803, 14.1421, 18.2483, 20.6155, 22.561, 23.7697, 24.0416, 23.7697, 21.8403, 19.6469, 15.5242, 12.3693, 8.2462, 4.1231, 1.0, 2.8284, 11.1803, 14.3178, 17.8885, 21.0238, 23.2594, 24.1661, 24.5967, 23.2594, 22.3607, 19.2354, 17.0, 12.53, 8.0623, 3.6056, 2.0, 6.0828, 11.4018, 15.5242, 19.4165, 22.561, 23.5372, 24.3311, 24.1868, 24.0832, 22.0227, 21.0238, 5.0, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, 1.76819, 1.66146, 1.66146, 1.66575, 1.67046, 1.68791, 1.71269, 1.75065, 1.8491, 2.03444, -1.5708, -1.40565, -1.39094, -1.4289, -1.40565, -1.32582, -1.34732, -1.31561, -1.27536, -1.31561, -1.2925, -1.31347, -1.31019, -1.32582, -1.32582, -1.32582, 3.14159, 2.35619, 2.03444, 2.0032, 2.03444, 2.01317, 2.01522, 1.99742, 2.03444, 2.01522, 2.03444, 2.0577, 2.06075, 2.07014, 2.08994, 2.1588, -1.5708, -1.40565, -1.30454, -1.31019, -1.3633, -1.34732, -1.35674, -1.40565, -1.44644, -1.48766, -1.52537, -1.52321, -1.5708, 0.0, 0.0, 0.0, 0.0]"
1786700249.962446,17.612533,15925860,6,0c:f0:b4:a0:6a:a0,-42,-97,11,6,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 1.4142, 2.2361, 2.0, 8.2462, 13.3417, 18.4391, 23.7697, 26.9258, 29.1204, 31.0483, 31.3209, 30.3645, 28.1603, 25.0, 19.9249, 14.5602, 9.4868, 4.4721, 2.2361, 8.544, 14.8661, 19.9249, 25.0, 29.4109, 31.6228, 32.573, 33.8378, 16.7631, 29.4109, 27.5136, 23.4094, 18.0278, 11.7047, 5.3852, 2.2361, 8.0623, 14.1421, 19.2354, 24.3311, 29.4279, 31.257, 33.2415, 34.2345, 34.1321, 32.0156, 29.0172, 24.0, 19.0263, 12.0, 5.0, 1.4142, 7.2801, 13.6015, 18.0278, 5.099, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, -2.35619, -2.67795, 0.0, 0.24498, 0.2268, 0.21867, 0.25518, 0.26299, 0.2783, 0.2606, 0.29146, 0.30092, 0.28806, 0.28379, 0.30588, 0.2783, 0.32175, 0.46365, -2.67795, -2.78282, -2.79857, -2.83571, -2.8578, -2.83059, -2.81984, -2.82955, -2.8105, -2.83871, -2.83059, -2.80835, -2.79282, -2.8023, -2.79282, -2.76109, -0.46365, 0.12435, 0.1419, 0.1566, 0.16515, 0.17074, 0.12832, 0.12062, 0.11711, 0.08801, 0.03124, 0.03447, 0.0, -0.05258, 0.0, 0.0, 2.35619, 2.86329, 2.84309, 2.8023, 2.9442, 0.0, 0.0, 0.0, 0.0]"
1786700249.999346,17.649433,15956832,7,0c:f0:b4:a0:6a:a0,-38,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 2.2361, 11.7047, 11.7047, 11.7047, 10.7703, 9.4868, 7.2801, 5.099, 3.1623, 1.0, 1.4142, 4.4721, 6.3246, 8.2462, 10.4403, 12.3693, 13.3417, 13.3417, 13.3417, 13.3417, 12.1655, 11.1803, 9.2195, 7.0711, 5.099, 2.2361, 1.0, 1.0, 6.0, 8.0, 9.0, 11.0, 12.0416, 12.0, 13.0, 12.0, 12.0, 10.0, 9.0, 7.0, 4.0, 2.2361, 1.4142, 4.1231, 6.3246, 8.2462, 10.198, 12.3693, 13.6015, 13.6015, 13.9284, 13.0, 12.083, 11.1803, 3.6056, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, 1.10715, 1.22203, 1.22203, 1.22203, 1.19029, 1.24905, 1.2925, 1.3734, 1.24905, 1.5708, -2.35619, -2.03444, -1.89255, -1.81577, -1.86225, -1.81577, -1.7976, -1.7976, -1.7976, -1.7976, -1.73595, -1.75065, -1.78947, -1.71269, -1.76819, -2.03444, 3.14159, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.48766, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 2.03444, -2.35619, -1.81577, -1.89255, -1.81577, -1.76819, -1.81577, -1.8693, -1.8693, -1.93797, -1.96559, -1.99742, -2.03444, -2.1588, 0.0, 0.0, 0.0, 0.0]"
1786700250.037417,17.687505,15995173,8,0c:f0:b4:a0:6a:a0,-38,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 2.2361, 11.7047, 11.7047, 11.7047, 10.4403, 9.4868, 7.2801, 5.099, 3.1623, 1.0, 2.2361, 4.1231, 6.3246, 8.2462, 10.4403, 12.3693, 12.3693, 13.3417, 13.3417, 13.3417, 12.3693, 11.1803, 9.2195, 7.0711, 5.099, 2.2361, 0.0, 1.0, 6.0, 8.0, 9.0, 11.0, 12.0416, 13.0384, 13.0384, 12.0416, 11.0, 10.0, 9.0, 6.0, 4.0, 2.2361, 1.4142, 3.1623, 6.3246, 9.4868, 11.4018, 12.6491, 13.6015, 13.9284, 13.0, 13.4164, 12.53, 11.6619, 3.6056, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, 1.10715, 1.22203, 1.22203, 1.22203, 1.27934, 1.24905, 1.2925, 1.3734, 1.24905, 1.5708, -2.03444, -1.81577, -1.89255, -1.81577, -1.86225, -1.81577, -1.81577, -1.7976, -1.7976, -1.7976, -1.81577, -1.75065, -1.78947, -1.71269, -1.76819, -2.03444, 0.0, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 1.48766, 1.49402, 1.49402, 1.48766, 1.5708, 1.5708, 1.5708, 1.5708, 1.5708, 2.03444, -2.35619, -1.89255, -1.89255, -1.89255, -1.83705, -1.89255, -1.8693, -1.93797, -1.96559, -2.03444, -2.07014, -2.11122, -2.1588, 0.0, 0.0, 0.0, 0.0]"
1786700250.076809,17.726897,16041013,9,0c:f0:b4:a0:6a:a0,-42,-97,11,7,1,11,2,67,64,"[82.4197, 4.0, 0.0, 0.0, 0.0, 5.099, 22.3607, 22.3607, 21.2132, 19.2354, 17.2627, 14.1421, 11.0454, 7.0711, 3.1623, 2.2361, 6.0, 11.0454, 14.0357, 18.0278, 21.095, 23.0868, 24.0832, 24.1868, 23.1948, 21.2132, 19.2354, 16.2788, 12.1655, 8.2462, 4.1231, 0.0, 2.0, 11.1803, 14.3178, 17.2627, 20.3961, 22.561, 23.5372, 23.7697, 23.7697, 21.587, 19.6469, 15.5242, 12.3693, 7.2801, 3.1623, 2.0, 6.0828, 11.1803, 15.1327, 19.2354, 22.0907, 24.0832, 25.02, 25.02, 24.0, 22.0227, 20.0998, 5.0, 0.0, 0.0, 0.0, 0.0]","[0.94914, 1.5708, 0.0, 0.0, 0.0, -0.1974, -0.17985, -0.17985, -0.1419, -0.1566, -0.17467, -0.1419, -0.09066, -0.1419, -0.32175, -2.67795, 3.14159, -3.05093, -3.07029, -3.08609, -3.04664, -3.05485, -3.05845, -3.01724, -3.01189, -2.9997, -2.98499, -2.95624, -2.97644, -2.89661, -2.89661, 0.0, 0.0, 0.17985, 0.21109, 0.17467, 0.1974, 0.22348, 0.21406, 0.25518, 0.25518, 0.23374, 0.25732, 0.2606, 0.24498, 0.2783, 0.32175, 3.14159, -2.97644, -2.96174, -3.00904, -2.98499, -3.05093, -3.05845, -3.10161, -3.10161, 3.14159, 3.09617, 3.04192, 3.14159, 0.0, 0.0, 0.0, 0.0]"
