host_epoch,t_rel,frame_number,fps,head_x,head_y,head_confidence,head_x_norm,head_y_norm,feet_x,feet_y,feet_confidence,feet_x_norm,feet_y_norm
1786703943.432295,-0.041318,23,0.00,116.94,76.79,1.0000,0.182721,0.159982,147.35,334.34,0.9708,0.230240,0.696547
1786703943.539889,0.066276,26,0.00,116.67,76.20,1.0000,0.182304,0.158748,147.02,334.49,0.9712,0.229712,0.696846
1786703943.619325,0.145712,27,0.00,116.65,76.05,1.0000,0.182261,0.158446,147.06,334.43,0.9716,0.229775,0.696719
1786703943.629973,0.156360,29,0.00,116.70,76.11,1.0000,0.182347,0.158560,146.66,335.34,0.9710,0.229156,0.698625
1786703943.723597,0.249984,31,0.00,116.67,75.85,1.0000,0.182303,0.158015,146.61,334.85,0.9712,0.229073,0.697596
1786703943.734828,0.261214,32,0.00,116.70,76.10,1.0000,0.182341,0.158549,146.60,335.03,0.9711,0.229064,0.697989
1786703943.822206,0.348593,33,0.00,116.67,76.10,1.0000,0.182294,0.158549,146.60,334.69,0.9708,0.229058,0.697268
1786703943.832240,0.358627,35,0.00,116.62,75.94,1.0000,0.182215,0.158212,146.45,334.75,0.9706,0.228824,0.697399
1786703943.923668,0.450054,36,0.00,116.69,75.99,1.0000,0.182329,0.158310,146.47,335.35,0.9707,0.228865,0.698656
1786703943.928330,0.454717,38,0.00,116.62,75.90,1.0000,0.182219,0.158123,146.47,335.40,0.9709,0.228866,0.698760
1786703944.028880,0.555267,40,19.79,116.62,75.91,1.0000,0.182217,0.158145,146.56,335.59,0.9710,0.229000,0.699137
1786703944.046027,0.572414,41,19.79,116.61,75.82,1.0000,0.182205,0.157948,146.63,335.35,0.9716,0.229109,0.698639
1786703944.060434,0.586821,42,19.79,116.59,75.80,1.0000,0.182173,0.157907,146.57,335.43,0.9714,0.229018,0.698814
1786703944.137418,0.663805,43,19.79,116.57,75.72,1.0000,0.182136,0.157741,146.60,335.47,0.9716,0.229069,0.698900
1786703944.139437,0.665824,44,19.79,116.58,75.73,1.0000,0.182149,0.157776,146.59,335.52,0.9715,0.229040,0.699008
1786703944.331899,0.858286,45,19.79,116.55,75.63,1.0000,0.182112,0.157570,146.30,335.30,0.9717,0.228599,0.698534
1786703944.345403,0.871790,49,19.79,116.48,75.63,1.0000,0.181995,0.157553,146.65,335.13,0.9725,0.229140,0.698185
1786703944.368383,0.894769,51,19.79,116.49,75.74,1.0000,0.182022,0.157791,146.73,335.02,0.9729,0.229259,0.697953
1786703944.438441,0.964828,53,19.79,116.55,75.74,1.0000,0.182116,0.157784,146.71,334.88,0.9726,0.229229,0.697670
1786703944.488945,1.015331,54,19.79,116.56,75.96,1.0000,0.182117,0.158258,146.70,334.79,0.9732,0.229218,0.697484
1786703944.508339,1.034726,55,19.79,116.66,76.05,1.0000,0.182279,0.158442,146.74,334.79,0.9735,0.229282,0.697481
1786703944.542232,1.068618,56,20.14,116.66,75.84,1.0000,0.182278,0.158005,146.66,334.89,0.9739,0.229151,0.697689
1786703944.639961,1.166348,57,20.14,116.67,75.86,1.0000,0.182297,0.158035,146.63,334.47,0.9742,0.229113,0.696809
