host_epoch,t_rel,frame_number,fps,head_x,head_y,head_confidence,head_x_norm,head_y_norm,feet_x,feet_y,feet_confidence,feet_x_norm,feet_y_norm
1786703337.399152,-0.015966,19,0.00,282.53,70.29,1.0000,0.441460,0.146432,292.68,332.83,0.9812,0.457315,0.693398
1786703337.503418,0.088299,22,0.00,282.53,70.29,1.0000,0.441460,0.146442,292.60,332.82,0.9811,0.457192,0.693378
1786703337.518762,0.103644,23,0.00,282.56,70.29,1.0000,0.441493,0.146443,292.59,332.92,0.9813,0.457178,0.693578
1786703337.604190,0.189071,25,0.00,282.49,70.25,1.0000,0.441396,0.146359,292.59,332.89,0.9814,0.457169,0.693512
1786703337.707742,0.292624,27,0.00,282.47,70.30,1.0000,0.441358,0.146465,292.52,333.05,0.9814,0.457068,0.693855
1786703337.710489,0.295371,28,0.00,282.47,70.31,1.0000,0.441357,0.146470,292.49,333.06,0.9814,0.457008,0.693866
1786703337.812780,0.397661,29,0.00,282.43,70.33,1.0000,0.441305,0.146523,292.48,333.09,0.9814,0.457000,0.693935
1786703337.830379,0.415260,32,0.00,282.25,70.31,1.0000,0.441010,0.146485,292.49,333.09,0.9819,0.457014,0.693933
1786703337.911007,0.495888,34,17.81,282.25,70.30,1.0000,0.441016,0.146453,292.51,333.10,0.9820,0.457040,0.693968
1786703337.928380,0.513261,35,17.81,282.10,70.29,1.0000,0.440780,0.146445,292.49,333.10,0.9821,0.457011,0.693948
1786703338.013868,0.598749,36,17.81,282.06,70.25,1.0000,0.440725,0.146350,292.41,333.13,0.9819,0.456885,0.694023
1786703338.031665,0.616546,38,17.81,281.96,70.25,1.0000,0.440561,0.146357,292.44,333.17,0.9818,0.456931,0.694101
1786703338.070283,0.655165,39,17.81,281.91,70.25,1.0000,0.440484,0.146352,292.46,333.23,0.9817,0.456961,0.694236
1786703338.117167,0.702048,40,17.81,281.90,70.27,1.0000,0.440474,0.146387,292.46,333.28,0.9816,0.456970,0.694338
1786703338.129544,0.714425,41,17.81,281.90,70.32,1.0000,0.440472,0.146504,292.43,333.29,0.9815,0.456927,0.694345
1786703338.218802,0.803683,43,17.81,281.85,70.25,1.0000,0.440390,0.146349,292.46,333.53,0.9816,0.456961,0.694845
1786703338.240409,0.825290,44,17.81,281.85,70.24,1.0000,0.440397,0.146340,292.44,333.45,0.9815,0.456941,0.694694
1786703338.261949,0.846830,45,17.81,281.86,70.26,1.0000,0.440411,0.146383,292.45,333.45,0.9816,0.456953,0.694689
1786703338.296160,0.881042,46,17.81,281.86,70.26,1.0000,0.440410,0.146380,292.43,333.44,0.9815,0.456929,0.694674
1786703338.314469,0.899351,47,17.81,281.84,70.26,1.0000,0.440376,0.146377,292.45,333.43,0.9814,0.456946,0.694641
1786703338.351859,0.936740,48,17.81,281.78,70.24,1.0000,0.440278,0.146337,292.43,333.48,0.9816,0.456928,0.694746
1786703338.387652,0.972533,49,17.81,281.80,70.25,1.0000,0.440314,0.146355,292.44,333.37,0.9810,0.456938,0.694521
1786703338.435005,1.019886,50,19.59,281.69,70.24,1.0000,0.440140,0.146336,292.51,333.37,0.9811,0.457042,0.694521
1786703338.476541,1.061422,51,19.59,281.69,70.07,1.0000,0.440138,0.145989,292.53,333.33,0.9810,0.457076,0.694447
1786703338.497363,1.082244,52,19.59,281.68,70.08,1.0000,0.440128,0.145990,292.51,333.35,0.9810,0.457053,0.694476
1786703338.527973,1.112854,53,19.59,281.68,70.10,1.0000,0.440124,0.146051,292.55,333.28,0.9810,0.457111,0.694340
1786703338.569927,1.154808,54,19.59,281.43,70.09,1.0000,0.439738,0.146030,292.56,333.28,0.9811,0.457132,0.694341
1786703338.594390,1.179271,55,19.59,281.41,70.09,1.0000,0.439706,0.146024,292.56,333.28,0.9811,0.457127,0.694324
1786703338.640849,1.225730,56,19.59,281.34,70.15,1.0000,0.439601,0.146139,292.58,333.32,0.9814,0.457157,0.694422
1786703338.665401,1.250282,57,19.59,281.35,70.15,1.0000,0.439611,0.146153,292.57,333.32,0.9813,0.457136,0.694414
1786703338.702705,1.287586,58,19.59,281.15,70.19,1.0000,0.439290,0.146219,292.56,332.99,0.9812,0.457126,0.693721
1786703338.737769,1.322651,59,19.59,281.13,70.19,1.0000,0.439271,0.146220,292.58,333.13,0.9813,0.457155,0.694030
1786703338.758002,1.342883,60,19.59,281.19,70.18,1.0000,0.439366,0.146214,292.58,333.11,0.9813,0.457155,0.693970
1786703338.819009,1.403890,61,19.59,280.99,70.14,1.0000,0.439048,0.146133,292.58,333.12,0.9816,0.457159,0.693994
1786703338.836217,1.421098,62,19.59,281.04,70.14,1.0000,0.439122,0.146132,292.54,333.12,0.9816,0.457092,0.694005
1786703338.868597,1.453479,63,19.59,281.05,70.14,1.0000,0.439143,0.146133,292.53,333.17,0.9815,0.457079,0.694099
1786703338.899789,1.484670,64,19.59,281.07,70.14,1.0000,0.439177,0.146115,292.57,333.04,0.9815,0.457134,0.693836
1786703338.936311,1.521192,65,21.59,281.00,70.13,1.0000,0.439058,0.146114,292.48,333.07,0.9816,0.457005,0.693893
1786703338.968251,1.553132,66,21.59,281.18,70.12,1.0000,0.439349,0.146080,292.49,332.86,0.9817,0.457023,0.693450
1786703338.984108,1.568989,67,21.59,281.21,70.13,1.0000,0.439396,0.146103,292.49,333.03,0.9816,0.457018,0.693820
1786703339.032525,1.617407,68,21.59,281.20,70.12,1.0000,0.439382,0.146073,292.48,333.04,0.9816,0.456993,0.693834
1786703339.096969,1.681851,69,21.59,281.19,69.91,1.0000,0.439355,0.145641,292.48,333.21,0.9818,0.456997,0.694195
1786703339.113633,1.698514,70,21.59,281.19,69.91,1.0000,0.439360,0.145642,292.49,333.18,0.9816,0.457011,0.694122
1786703339.144435,1.729316,71,21.59,281.22,69.90,1.0000,0.439406,0.145633,292.50,333.41,0.9812,0.457036,0.694614
1786703339.160420,1.745301,72,21.59,281.29,69.90,1.0000,0.439523,0.145635,292.50,333.46,0.9811,0.457032,0.694717
1786703339.192567,1.777448,73,21.59,281.31,69.92,1.0000,0.439547,0.145659,292.50,333.51,0.9807,0.457029,0.694804
1786703339.229840,1.814721,74,21.59,281.31,70.00,1.0000,0.439546,0.145834,292.50,333.45,0.9807,0.457037,0.694688
1786703339.258563,1.843444,75,21.59,281.38,70.00,1.0000,0.439655,0.145843,292.48,333.45,0.9806,0.457004,0.694680
1786703339.292571,1.877452,76,21.59,281.38,69.99,1.0000,0.439656,0.145821,292.48,333.40,0.9806,0.457005,0.694577
1786703339.329911,1.914793,77,21.59,281.42,69.96,1.0000,0.439726,0.145750,292.42,333.40,0.9804,0.456906,0.694580
1786703339.366737,1.951618,78,21.59,281.63,69.96,1.0000,0.440040,0.145749,292.40,333.32,0.9803,0.456883,0.694416
1786703339.398599,1.983481,79,21.59,281.62,70.02,1.0000,0.440038,0.145874,292.43,333.36,0.9805,0.456918,0.694496
1786703339.431497,2.016378,80,21.59,281.67,69.92,1.0000,0.440114,0.145674,292.51,333.07,0.9808,0.457039,0.693889
1786703339.465569,2.050451,81,23.34,281.82,69.90,1.0000,0.440339,0.145633,292.52,333.10,0.9808,0.457065,0.693950
1786703339.494400,2.079281,82,23.34,281.95,69.93,1.0000,0.440552,0.145679,292.52,333.04,0.9812,0.457065,0.693840
1786703339.526524,2.111405,83,23.34,281.97,69.94,1.0000,0.440583,0.145701,292.50,332.98,0.9810,0.457025,0.693707
1786703339.574418,2.159299,84,23.34,282.00,69.97,1.0000,0.440627,0.145764,292.51,333.15,0.9809,0.457052,0.694053
1786703339.605932,2.190813,85,23.34,282.18,69.97,1.0000,0.440904,0.145763,292.56,333.20,0.9805,0.457129,0.694164
1786703339.637842,2.222724,86,23.34,282.13,70.04,1.0000,0.440830,0.145917,292.57,333.22,0.9806,0.457137,0.694208
1786703339.670825,2.255707,87,23.34,282.11,69.98,1.0000,0.440796,0.145799,292.62,333.23,0.9806,0.457213,0.694220
1786703339.701007,2.285888,88,23.34,282.16,69.98,1.0000,0.440879,0.145787,292.62,333.24,0.9801,0.457217,0.694241
1786703339.720373,2.305255,89,23.34,282.31,70.11,1.0000,0.441116,0.146059,292.61,333.24,0.9799,0.457197,0.694246
1786703339.782006,2.366888,90,23.34,282.21,70.08,1.0000,0.440956,0.145991,292.65,332.75,0.9803,0.457259,0.693230
1786703339.813277,2.398159,91,23.34,282.21,70.07,1.0000,0.440957,0.145981,292.60,332.80,0.9801,0.457189,0.693334
1786703339.828786,2.413667,92,23.34,282.21,70.09,1.0000,0.440960,0.146019,292.60,332.79,0.9800,0.457184,0.693303
1786703339.860702,2.445583,93,23.34,282.23,70.12,1.0000,0.440984,0.146080,292.58,332.80,0.9799,0.457154,0.693327
1786703339.908498,2.493379,94,23.34,282.25,70.12,1.0000,0.441017,0.146076,292.53,332.80,0.9797,0.457085,0.693325
1786703339.924113,2.508994,95,23.34,282.25,70.12,1.0000,0.441009,0.146074,292.56,333.02,0.9799,0.457125,0.693800
1786703339.960742,2.545623,96,23.34,282.25,70.12,1.0000,0.441019,0.146092,292.56,332.95,0.9801,0.457129,0.693637
1786703340.004604,2.589485,97,24.73,282.25,70.11,1.0000,0.441020,0.146065,292.56,332.74,0.9802,0.457121,0.693204
1786703340.019836,2.604717,98,24.73,282.27,70.09,1.0000,0.441044,0.146020,292.54,332.73,0.9804,0.457094,0.693191
1786703340.067833,2.652715,99,24.73,282.28,70.11,1.0000,0.441057,0.146059,292.54,332.78,0.9803,0.457100,0.693290
1786703340.083807,2.668689,100,24.73,282.36,70.10,1.0000,0.441194,0.146048,292.54,332.85,0.9803,0.457088,0.693440
1786703340.132030,2.716911,101,24.73,282.32,70.09,1.0000,0.441133,0.146029,292.53,333.00,0.9804,0.457078,0.693744
1786703340.163875,2.748756,102,24.73,282.22,70.07,1.0000,0.440975,0.145976,292.50,332.98,0.9802,0.457036,0.693712
1786703340.195386,2.780267,103,24.73,282.29,70.07,1.0000,0.441071,0.145976,292.52,333.05,0.9802,0.457062,0.693844
1786703340.227366,2.812248,104,24.73,282.30,70.07,1.0000,0.441086,0.145974,292.51,333.05,0.9804,0.457052,0.693857
1786703340.274641,2.859522,105,24.73,282.27,70.05,1.0000,0.441046,0.145942,292.54,333.07,0.9802,0.457092,0.693886
1786703340.306875,2.891757,106,24.73,282.20,70.04,1.0000,0.440936,0.145926,292.58,333.23,0.9804,0.457149,0.694227
1786703340.338921,2.923802,107,24.73,282.18,70.04,1.0000,0.440901,0.145922,292.59,333.26,0.9802,0.457173,0.694301
1786703340.386404,2.971285,108,24.73,282.19,70.08,1.0000,0.440918,0.145999,292.61,333.23,0.9803,0.457201,0.694231
1786703340.418195,3.003076,109,24.73,282.19,70.08,1.0000,0.440920,0.145992,292.59,333.19,0.9807,0.457166,0.694139
1786703340.434040,3.018921,110,24.73,282.20,70.13,1.0000,0.440940,0.146104,292.60,333.25,0.9809,0.457194,0.694265
1786703340.456101,3.040982,111,24.73,282.21,70.13,1.0000,0.440951,0.146102,292.60,333.24,0.9810,0.457190,0.694259
1786703340.515871,3.100752,112,25.52,282.21,70.16,1.0000,0.440947,0.146161,292.57,333.44,0.9806,0.457146,0.694664
1786703340.530150,3.115031,113,25.52,281.99,70.20,1.0000,0.440610,0.146258,292.57,333.50,0.9807,0.457141,0.694801
1786703340.592524,3.177406,114,25.52,282.01,70.12,1.0000,0.440639,0.146076,292.53,333.49,0.9804,0.457080,0.694768
1786703340.610198,3.195079,115,25.52,281.95,70.16,1.0000,0.440542,0.146164,292.54,333.49,0.9803,0.457099,0.694768
1786703340.625871,3.210752,116,25.52,281.89,70.16,1.0000,0.440456,0.146167,292.51,333.35,0.9802,0.457044,0.694478
1786703340.691299,3.276180,117,25.52,281.94,70.15,1.0000,0.440524,0.146152,292.48,333.35,0.9799,0.456994,0.694472
1786703340.706378,3.291259,118,25.52,281.88,70.19,1.0000,0.440444,0.146226,292.47,333.49,0.9802,0.456986,0.694780
1786703340.724340,3.309221,119,25.52,281.90,70.19,1.0000,0.440468,0.146226,292.48,333.43,0.9804,0.456997,0.694653
1786703340.785884,3.370765,120,25.52,282.08,70.19,1.0000,0.440755,0.146235,292.47,333.48,0.9806,0.456981,0.694744
1786703340.801927,3.386809,121,25.52,282.12,70.23,1.0000,0.440815,0.146307,292.49,333.58,0.9807,0.457018,0.694957
1786703340.818035,3.402916,122,25.52,282.13,70.26,1.0000,0.440831,0.146369,292.50,333.57,0.9806,0.457027,0.694947
1786703340.884230,3.469112,123,25.52,282.14,70.26,1.0000,0.440850,0.146371,292.51,333.57,0.9807,0.457044,0.694946
1786703340.914809,3.499691,124,25.52,282.22,70.21,1.0000,0.440961,0.146275,292.47,333.54,0.9802,0.456983,0.694881
1786703340.930498,3.515380,125,25.52,282.22,70.20,1.0000,0.440963,0.146255,292.45,333.59,0.9802,0.456948,0.694974
1786703340.970576,3.555457,126,25.52,282.22,70.27,1.0000,0.440967,0.146406,292.45,333.62,0.9802,0.456960,0.695039
1786703340.994675,3.579556,127,25.52,282.32,70.28,1.0000,0.441131,0.146411,292.42,333.51,0.9805,0.456905,0.694804
1786703341.031127,3.616008,128,26.67,282.33,70.27,1.0000,0.441143,0.146401,292.40,333.52,0.9805,0.456879,0.694831
1786703341.060287,3.645169,129,26.67,282.33,70.27,1.0000,0.441138,0.146400,292.43,333.46,0.9804,0.456916,0.694715
1786703341.094563,3.679444,130,26.67,282.34,70.32,1.0000,0.441152,0.146500,292.58,333.42,0.9806,0.457155,0.694634
1786703341.138557,3.723438,131,26.67,282.35,70.30,1.0000,0.441176,0.146466,292.58,332.86,0.9808,0.457158,0.693452
1786703341.169861,3.754742,132,26.67,282.34,70.30,1.0000,0.441158,0.146450,292.57,332.88,0.9811,0.457145,0.693503
1786703341.203910,3.788792,133,26.67,282.52,70.30,1.0000,0.441435,0.146450,292.59,332.97,0.9810,0.457165,0.693684
1786703341.233044,3.817925,134,26.67,282.54,70.36,1.0000,0.441461,0.146580,292.59,333.11,0.9809,0.457174,0.693988
1786703341.265304,3.850186,135,26.67,282.54,70.36,1.0000,0.441463,0.146575,292.60,333.12,0.9811,0.457184,0.694005
1786703341.313430,3.898311,136,26.67,282.27,70.26,1.0000,0.441054,0.146374,292.59,332.99,0.9811,0.457173,0.693729
1786703341.328599,3.913480,137,26.67,282.24,70.25,1.0000,0.440992,0.146356,292.61,332.98,0.9812,0.457204,0.693703
1786703341.361200,3.946081,138,26.67,282.31,70.24,1.0000,0.441110,0.146325,292.54,333.05,0.9808,0.457099,0.693862
1786703341.392812,3.977693,139,26.67,282.31,70.17,1.0000,0.441111,0.146196,292.46,332.83,0.9808,0.456972,0.693401
1786703341.440570,4.025451,140,26.67,282.28,70.16,1.0000,0.441069,0.146164,292.53,332.91,0.9808,0.457074,0.693553
1786703341.457977,4.042858,141,26.67,282.26,70.18,1.0000,0.441034,0.146207,292.52,332.90,0.9809,0.457069,0.693545
1786703341.504037,4.088919,142,26.67,282.27,70.17,1.0000,0.441048,0.146186,292.50,333.18,0.9809,0.457033,0.694117
1786703341.516954,4.101835,143,27.29,282.29,70.17,1.0000,0.441071,0.146195,292.50,333.21,0.9806,0.457024,0.694188
1786703341.560521,4.145402,144,27.29,282.28,70.15,1.0000,0.441065,0.146138,292.52,333.16,0.9807,0.457059,0.694079
1786703341.597486,4.182368,145,27.29,282.06,70.29,1.0000,0.440715,0.146433,292.51,332.65,0.9812,0.457040,0.693021
1786703341.648891,4.233772,146,27.29,281.75,70.28,1.0000,0.440227,0.146406,292.51,332.73,0.9816,0.457040,0.693181
1786703341.677859,4.262741,147,27.29,281.72,70.29,1.0000,0.440192,0.146429,292.48,332.85,0.9812,0.456997,0.693438
1786703341.710447,4.295328,148,27.29,281.71,70.30,1.0000,0.440172,0.146454,292.48,332.70,0.9813,0.456998,0.693118
1786703341.725968,4.310849,149,27.29,281.48,70.38,1.0000,0.439816,0.146619,292.47,332.74,0.9815,0.456979,0.693211
1786703341.773726,4.358608,150,27.29,281.42,70.37,1.0000,0.439719,0.146612,292.43,332.81,0.9815,0.456915,0.693346
1786703341.822320,4.407202,151,27.29,281.45,70.37,1.0000,0.439759,0.146614,292.42,332.94,0.9817,0.456913,0.693621
1786703341.854134,4.439015,152,27.29,281.44,70.38,1.0000,0.439747,0.146633,292.42,332.97,0.9817,0.456908,0.693692
1786703341.870181,4.455062,153,27.29,281.28,70.39,1.0000,0.439498,0.146650,292.46,332.72,0.9818,0.456966,0.693172
1786703341.902905,4.487786,154,27.29,281.19,70.39,1.0000,0.439363,0.146652,292.48,332.79,0.9819,0.457002,0.693310
1786703341.920410,4.505291,155,27.29,281.14,70.42,1.0000,0.439274,0.146707,292.47,332.80,0.9817,0.456988,0.693334
1786703341.967201,4.552082,156,27.29,280.92,70.44,1.0000,0.438939,0.146746,292.48,332.81,0.9816,0.457003,0.693358
1786703341.983180,4.568061,157,27.29,280.83,70.44,1.0000,0.438793,0.146744,292.47,332.81,0.9818,0.456981,0.693354
1786703342.047680,4.632561,158,27.64,280.83,70.42,1.0000,0.438793,0.146714,292.46,332.86,0.9819,0.456966,0.693454
1786703342.062623,4.647504,159,27.64,280.83,70.42,1.0000,0.438795,0.146711,292.46,333.24,0.9819,0.456971,0.694254
1786703342.126531,4.711412,160,27.64,280.83,70.42,1.0000,0.438796,0.146710,292.45,333.30,0.9819,0.456954,0.694378
1786703342.141572,4.726453,161,27.64,280.83,70.46,1.0000,0.438798,0.146784,292.46,333.24,0.9820,0.456966,0.694257
1786703342.173444,4.758325,162,27.64,280.79,70.45,1.0000,0.438738,0.146761,292.46,333.26,0.9818,0.456961,0.694298
1786703342.205392,4.790273,163,27.64,280.79,70.44,1.0000,0.438730,0.146753,292.46,333.04,0.9822,0.456966,0.693841
1786703342.242239,4.827120,164,27.64,280.74,70.44,1.0000,0.438656,0.146754,292.49,332.82,0.9821,0.457014,0.693372
1786703342.256917,4.841798,165,27.64,280.74,70.48,1.0000,0.438656,0.146828,292.50,332.89,0.9825,0.457032,0.693529
1786703342.303237,4.888119,166,27.64,280.72,70.52,1.0000,0.438628,0.146922,292.50,332.88,0.9826,0.457033,0.693506
1786703342.332652,4.917533,167,27.64,280.76,70.49,1.0000,0.438683,0.146859,292.50,332.85,0.9827,0.457028,0.693445
1786703342.380652,4.965533,168,27.64,280.71,70.48,1.0000,0.438603,0.146840,292.43,332.94,0.9825,0.456922,0.693628
1786703342.412099,4.996980,169,27.64,280.71,70.48,1.0000,0.438602,0.146841,292.51,332.76,0.9828,0.457044,0.693253
1786703342.427775,5.012656,170,27.64,280.69,70.39,1.0000,0.438575,0.146640,292.51,332.79,0.9830,0.457045,0.693316
1786703342.474922,5.059803,171,27.64,280.69,70.39,1.0000,0.438573,0.146648,292.48,332.85,0.9828,0.457000,0.693443
1786703342.494358,5.079239,172,27.64,280.69,70.33,1.0000,0.438575,0.146520,292.45,332.96,0.9826,0.456953,0.693656
1786703342.537688,5.122569,173,27.64,280.69,70.34,1.0000,0.438574,0.146532,292.48,332.95,0.9828,0.456994,0.693655
1786703342.569677,5.154558,174,28.34,280.72,70.32,1.0000,0.438625,0.146491,292.48,332.97,0.9829,0.457002,0.693692
1786703342.617030,5.201911,175,28.34,280.70,70.35,1.0000,0.438598,0.146569,292.49,332.98,0.9831,0.457009,0.693711
1786703342.632194,5.217075,176,28.34,280.74,70.35,1.0000,0.438653,0.146570,292.50,332.95,0.9831,0.457029,0.693640
1786703342.666364,5.251246,177,28.34,280.76,70.40,1.0000,0.438681,0.146664,292.45,332.95,0.9831,0.456950,0.693651
1786703342.712367,5.297249,178,28.34,280.80,70.39,1.0000,0.438745,0.146643,292.41,332.85,0.9832,0.456898,0.693447
1786703342.732074,5.316955,179,28.34,280.86,70.41,1.0000,0.438843,0.146680,292.41,332.91,0.9832,0.456893,0.693571
1786703342.776076,5.360958,180,28.34,280.87,70.41,1.0000,0.438852,0.146679,292.34,333.04,0.9830,0.456786,0.693833
1786703342.807751,5.392632,181,28.34,280.85,70.42,1.0000,0.438827,0.146716,292.36,333.01,0.9831,0.456806,0.693772
1786703342.854980,5.439861,182,28.34,281.22,70.29,1.0000,0.439413,0.146431,292.48,332.99,0.9831,0.456995,0.693729
1786703342.871064,5.455945,183,28.34,281.23,70.34,1.0000,0.439418,0.146543,292.46,332.94,0.9831,0.456967,0.693620
1786703342.940569,5.525451,184,28.34,281.21,70.47,1.0000,0.439395,0.146821,292.47,333.13,0.9831,0.456992,0.694026
