host_epoch,t_rel,frame_number,fps,nose_x,nose_y,nose_confidence,nose_x_norm,nose_y_norm,neck_x,neck_y,neck_confidence,neck_x_norm,neck_y_norm,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_norm,right_shoulder_y_norm,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_norm,right_elbow_y_norm,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_norm,right_wrist_y_norm,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_norm,left_shoulder_y_norm,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_norm,left_elbow_y_norm,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_norm,left_wrist_y_norm,mid_hip_x,mid_hip_y,mid_hip_confidence,mid_hip_x_norm,mid_hip_y_norm,right_hip_x,right_hip_y,right_hip_confidence,right_hip_x_norm,right_hip_y_norm,right_knee_x,right_knee_y,right_knee_confidence,right_knee_x_norm,right_knee_y_norm,right_ankle_x,right_ankle_y,right_ankle_confidence,right_ankle_x_norm,right_ankle_y_norm,left_hip_x,left_hip_y,left_hip_confidence,left_hip_x_norm,left_hip_y_norm,left_knee_x,left_knee_y,left_knee_confidence,left_knee_x_norm,left_knee_y_norm,left_ankle_x,left_ankle_y,left_ankle_confidence,left_ankle_x_norm,left_ankle_y_norm
1786615901.150182,-0.013018,16,0.00,463.77,244.57,1.0000,0.724645,0.509529,492.07,257.27,0.9998,0.768862,0.535981,477.85,259.50,0.9998,0.746637,0.540627,450.22,288.80,0.7820,0.703473,0.601657,413.13,309.71,0.9044,0.645515,0.645220,506.30,255.04,1.0000,0.791087,0.531334,485.42,298.69,0.9977,0.758473,0.622261,461.21,341.14,0.9977,0.720636,0.710714,509.59,341.02,0.9996,0.796234,0.710448,500.78,337.59,0.9996,0.782470,0.703313,433.12,351.98,0.6086,0.676748,0.733296,417.57,416.84,0.5191,0.652450,0.868413,518.40,344.44,0.9999,0.809999,0.717583,441.54,360.81,0.9853,0.689911,0.751692,428.51,436.55,0.9890,0.669543,0.909478
1786615901.216386,0.053185,19,0.00,464.01,244.56,1.0000,0.725010,0.509508,492.51,257.17,0.9998,0.769554,0.535766,477.86,259.51,0.9998,0.746651,0.540649,449.48,289.79,0.7828,0.702306,0.603722,412.34,310.32,0.9045,0.644285,0.646503,507.17,254.82,1.0000,0.792457,0.530882,485.40,300.11,0.9966,0.758439,0.625230,461.31,341.08,0.9969,0.720804,0.710586,509.91,342.24,0.9996,0.796733,0.713007,500.78,338.97,0.9996,0.782475,0.706178,433.90,352.23,0.6184,0.677962,0.733804,417.68,420.54,0.5310,0.652633,0.876128,519.03,345.52,0.9999,0.810990,0.719836,444.24,359.02,0.9849,0.694119,0.747952,428.10,436.41,0.9883,0.668911,0.909184
1786615901.248552,0.085351,20,0.00,464.01,244.56,0.9999,0.725010,0.509499,492.77,257.18,0.9998,0.769960,0.535784,477.87,259.49,0.9998,0.746665,0.540611,449.05,290.00,0.7751,0.701635,0.604171,412.50,310.32,0.8996,0.644532,0.646496,507.68,254.86,1.0000,0.793255,0.530958,485.47,300.57,0.9944,0.758548,0.626192,462.74,340.55,0.9956,0.723036,0.709487,509.90,343.59,0.9996,0.796713,0.715809,500.70,339.45,0.9996,0.782342,0.707197,433.89,352.28,0.6259,0.677951,0.733910,417.30,420.67,0.5405,0.652024,0.876392,519.09,347.72,0.9999,0.811085,0.724422,445.20,359.05,0.9831,0.695622,0.748018,428.18,436.22,0.9873,0.669030,0.908797
1786615901.293971,0.130770,21,0.00,463.98,244.53,0.9999,0.724975,0.509428,493.19,257.13,0.9998,0.770605,0.535685,478.27,259.42,0.9998,0.747289,0.540453,448.66,290.23,0.7719,0.701029,0.604636,412.64,310.31,0.8961,0.644747,0.646485,508.11,254.84,1.0000,0.793921,0.530917,486.41,300.88,0.9924,0.760023,0.626827,463.40,339.87,0.9943,0.724070,0.708061,509.63,344.65,0.9995,0.796295,0.718013,500.15,339.78,0.9995,0.781479,0.707878,433.88,352.97,0.6298,0.677936,0.735353,417.32,421.03,0.5418,0.652059,0.877156,519.11,349.51,0.9999,0.811110,0.728148,445.33,359.43,0.9808,0.695835,0.748817,428.15,436.08,0.9857,0.668985,0.908491
1786615901.324106,0.160905,22,0.00,463.96,244.50,0.9999,0.724944,0.509383,493.26,257.13,0.9998,0.770725,0.535682,478.18,259.42,0.9998,0.747154,0.540453,448.34,290.29,0.7688,0.700533,0.604779,412.71,310.18,0.8940,0.644852,0.646206,508.35,254.84,1.0000,0.794296,0.530910,487.20,300.83,0.9902,0.761256,0.626729,464.41,339.38,0.9928,0.725637,0.707040,509.48,345.05,0.9995,0.796069,0.718854,499.86,340.08,0.9995,0.781033,0.708504,433.96,352.94,0.6402,0.678066,0.735288,417.30,421.00,0.5499,0.652034,0.877091,519.11,350.02,0.9998,0.811105,0.729203,446.01,359.45,0.9788,0.696896,0.748864,428.24,435.68,0.9837,0.669121,0.907661
1786615901.343703,0.180502,23,0.00,463.99,244.51,0.9999,0.724979,0.509396,493.28,257.12,0.9998,0.770743,0.535660,478.14,259.40,0.9998,0.747096,0.540413,447.97,290.46,0.7666,0.699951,0.605119,412.71,310.14,0.8915,0.644860,0.646118,508.41,254.83,1.0000,0.794389,0.530906,487.70,300.79,0.9881,0.762028,0.626644,464.85,339.29,0.9914,0.726328,0.706856,509.11,345.30,0.9995,0.795487,0.719374,499.20,340.31,0.9995,0.780005,0.708988,434.01,352.93,0.6510,0.678139,0.735262,417.29,421.09,0.5589,0.652009,0.877267,519.02,350.28,0.9998,0.810969,0.729759,446.65,359.49,0.9772,0.697898,0.748936,428.30,435.46,0.9821,0.669222,0.907201
1786615901.388397,0.225196,24,0.00,464.03,244.52,0.9999,0.725052,0.509414,493.16,257.07,0.9998,0.770567,0.535570,477.86,259.38,0.9998,0.746656,0.540370,447.70,290.59,0.7691,0.699526,0.605396,412.69,310.03,0.8918,0.644833,0.645894,508.47,254.77,1.0000,0.794478,0.530770,487.77,300.77,0.9863,0.762141,0.626602,465.31,339.15,0.9899,0.727043,0.706553,508.34,345.15,0.9995,0.794288,0.719063,498.00,340.28,0.9995,0.778127,0.708924,433.92,352.83,0.6633,0.677992,0.735061,417.37,420.96,0.5665,0.652137,0.876997,518.69,350.02,0.9998,0.810449,0.729201,447.31,360.77,0.9758,0.698918,0.751599,428.34,435.16,0.9804,0.669287,0.906591
1786615901.450084,0.286883,25,0.00,464.12,244.73,0.9999,0.725190,0.509863,493.38,257.01,0.9998,0.770908,0.535434,477.58,259.34,0.9998,0.746219,0.540287,447.55,290.82,0.7701,0.699298,0.605877,412.39,309.91,0.8918,0.644364,0.645638,509.18,254.68,1.0000,0.795597,0.530581,487.73,300.73,0.9846,0.762073,0.626527,465.18,338.89,0.9890,0.726839,0.706021,508.50,345.30,0.9994,0.794529,0.719380,498.05,340.47,0.9994,0.778206,0.709306,433.82,352.28,0.6728,0.677838,0.733923,417.43,420.88,0.5700,0.652233,0.876839,518.95,350.14,0.9998,0.810852,0.729455,447.76,360.93,0.9747,0.699631,0.751939,427.94,434.90,0.9789,0.668660,0.906033
1786615901.480698,0.317497,26,0.00,464.21,244.77,0.9999,0.725331,0.509938,493.33,256.67,0.9998,0.770836,0.534739,477.48,258.61,0.9998,0.746068,0.538765,447.56,290.68,0.7701,0.699309,0.605574,412.59,309.90,0.8917,0.644665,0.645628,509.19,254.74,1.0000,0.795604,0.530714,487.71,300.68,0.9839,0.762052,0.626425,465.17,338.58,0.9885,0.726824,0.705377,508.16,345.19,0.9994,0.793993,0.719141,497.37,340.33,0.9994,0.777142,0.709024,433.71,352.43,0.6876,0.677670,0.734231,417.31,421.29,0.5805,0.652041,0.877697,518.94,350.04,0.9998,0.810844,0.729257,448.87,361.50,0.9735,0.701357,0.753131,427.95,434.87,0.9771,0.668674,0.905973
1786615901.496405,0.333204,27,0.00,464.21,244.95,0.9999,0.725333,0.510313,493.36,256.74,0.9999,0.770879,0.534872,477.48,258.76,0.9999,0.746058,0.539093,447.10,290.99,0.7709,0.698598,0.606230,412.34,310.03,0.8910,0.644280,0.645892,509.25,254.71,1.0000,0.795700,0.530650,487.79,300.70,0.9830,0.762173,0.626462,465.13,338.55,0.9880,0.726758,0.705315,508.21,345.33,0.9994,0.794074,0.719443,497.41,340.58,0.9994,0.777209,0.709549,433.72,352.53,0.6944,0.677693,0.734442,417.31,421.65,0.5821,0.652044,0.878439,519.00,350.08,0.9998,0.810940,0.729337,448.66,361.68,0.9720,0.701031,0.753505,427.89,434.81,0.9756,0.668582,0.905861
