host_epoch,t_rel,frame_number,fps,nose_x,nose_y,nose_confidence,nose_x_norm,nose_y_norm,neck_x,neck_y,neck_confidence,neck_x_norm,neck_y_norm,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_norm,right_shoulder_y_norm,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_norm,right_elbow_y_norm,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_norm,right_wrist_y_norm,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_norm,left_shoulder_y_norm,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_norm,left_elbow_y_norm,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_norm,left_wrist_y_norm,mid_hip_x,mid_hip_y,mid_hip_confidence,mid_hip_x_norm,mid_hip_y_norm,right_hip_x,right_hip_y,right_hip_confidence,right_hip_x_norm,right_hip_y_norm,right_knee_x,right_knee_y,right_knee_confidence,right_knee_x_norm,right_knee_y_norm,right_ankle_x,right_ankle_y,right_ankle_confidence,right_ankle_x_norm,right_ankle_y_norm,left_hip_x,left_hip_y,left_hip_confidence,left_hip_x_norm,left_hip_y_norm,left_knee_x,left_knee_y,left_knee_confidence,left_knee_x_norm,left_knee_y_norm,left_ankle_x,left_ankle_y,left_ankle_confidence,left_ankle_x_norm,left_ankle_y_norm
1786616624.572824,-0.033692,7,0.00,123.57,161.32,1.0000,0.193078,0.336074,121.17,198.96,0.9996,0.189326,0.414500,88.99,198.18,1.0000,0.139054,0.412869,67.92,242.18,0.9941,0.106129,0.504537,107.06,244.05,0.9785,0.167289,0.508429,153.34,199.74,0.9996,0.239598,0.416131,164.11,241.40,0.9572,0.256424,0.502918,140.03,234.98,0.9405,0.218792,0.489536,115.80,288.77,0.9985,0.180936,0.601604,97.12,287.88,0.9997,0.151757,0.599743,89.21,357.84,0.9975,0.139390,0.745506,85.44,423.57,0.9962,0.133492,0.882437,134.47,289.66,0.9985,0.210114,0.603465,135.83,354.84,0.9891,0.212238,0.739257,135.20,414.94,0.9915,0.211258,0.864450
1786616624.665078,0.058562,9,0.00,123.41,161.33,1.0000,0.192824,0.336100,121.15,198.97,0.9997,0.189292,0.414526,88.92,198.26,1.0000,0.138943,0.413044,67.89,242.15,0.9941,0.106080,0.504475,107.16,244.11,0.9787,0.167443,0.508571,153.37,199.68,0.9997,0.239640,0.416009,164.15,241.48,0.9593,0.256479,0.503076,140.23,234.87,0.9441,0.219106,0.489310,116.14,288.77,0.9986,0.181470,0.601596,97.56,287.86,0.9997,0.152437,0.599698,89.21,357.89,0.9976,0.139389,0.745596,85.33,424.28,0.9962,0.133335,0.883907,134.72,289.68,0.9986,0.210502,0.603493,136.02,354.93,0.9893,0.212526,0.739429,135.22,415.32,0.9915,0.211285,0.865256
1786616624.684895,0.078379,10,0.00,123.17,161.24,1.0000,0.192461,0.335925,121.09,198.96,0.9997,0.189208,0.414504,88.82,198.24,1.0000,0.138775,0.413003,67.86,242.14,0.9941,0.106031,0.504466,107.27,244.12,0.9789,0.167615,0.508592,153.37,199.68,0.9997,0.239642,0.416005,164.15,241.74,0.9619,0.256481,0.503626,140.39,234.66,0.9481,0.219357,0.488869,116.15,288.42,0.9986,0.181481,0.600880,97.56,287.32,0.9997,0.152436,0.598574,89.20,357.99,0.9976,0.139376,0.745804,85.19,424.45,0.9962,0.133109,0.884264,134.74,289.53,0.9986,0.210527,0.603185,136.02,354.95,0.9894,0.212526,0.739469,135.24,415.40,0.9915,0.211310,0.865415
1786616624.715044,0.108528,11,0.00,122.93,161.16,1.0000,0.192073,0.335750,120.99,198.98,0.9997,0.189047,0.414534,88.61,198.29,1.0000,0.138447,0.413099,67.57,242.23,0.9942,0.105584,0.504643,107.23,244.15,0.9795,0.167540,0.508643,153.37,199.66,0.9997,0.239647,0.415969,163.93,242.01,0.9634,0.256146,0.504179,140.56,234.69,0.9509,0.219626,0.488933,116.20,288.49,0.9986,0.181567,0.601028,97.56,287.38,0.9997,0.152444,0.598715,89.20,358.08,0.9977,0.139372,0.746007,85.19,424.54,0.9962,0.133117,0.884462,134.84,289.60,0.9986,0.210691,0.603341,136.05,355.13,0.9897,0.212578,0.739846,135.29,415.40,0.9915,0.211388,0.865420
1786616624.746515,0.139999,12,0.00,122.74,161.18,1.0000,0.191780,0.335798,120.94,198.95,0.9997,0.188971,0.414483,88.50,198.29,1.0000,0.138285,0.413112,67.52,242.24,0.9942,0.105499,0.504667,107.31,244.17,0.9798,0.167665,0.508678,153.38,199.61,0.9997,0.239658,0.415855,163.90,242.06,0.9646,0.256100,0.504296,141.39,234.69,0.9533,0.220929,0.488932,116.38,288.44,0.9986,0.181844,0.600912,97.73,287.32,0.9997,0.152702,0.598576,89.18,358.10,0.9977,0.139337,0.746041,85.09,424.88,0.9962,0.132953,0.885167,135.03,289.56,0.9986,0.210986,0.603248,136.26,354.92,0.9897,0.212901,0.739421,135.50,415.38,0.9914,0.211713,0.865385
1786616624.777056,0.170540,13,0.00,122.68,161.17,1.0000,0.191680,0.335761,120.93,198.94,0.9997,0.188953,0.414450,88.50,198.29,1.0000,0.138274,0.413112,67.31,242.27,0.9943,0.105167,0.504730,107.03,244.23,0.9804,0.167232,0.508818,153.37,199.58,0.9997,0.239633,0.415787,163.90,242.16,0.9665,0.256087,0.504496,141.44,234.72,0.9563,0.220994,0.489005,116.43,288.02,0.9986,0.181920,0.600041,97.78,286.83,0.9997,0.152785,0.597564,89.18,358.17,0.9977,0.139347,0.746182,84.99,425.26,0.9962,0.132794,0.885949,135.07,289.21,0.9986,0.211054,0.602517,136.24,354.51,0.9897,0.212876,0.738564,135.63,415.40,0.9913,0.211914,0.865415
1786616624.823616,0.217100,14,0.00,122.82,161.22,1.0000,0.191899,0.335883,120.77,198.95,0.9998,0.188701,0.414479,88.18,198.32,1.0000,0.137788,0.413173,67.30,242.35,0.9945,0.105158,0.504886,107.09,244.76,0.9814,0.167322,0.509913,153.35,199.58,0.9998,0.239614,0.415784,163.72,242.36,0.9684,0.255818,0.504922,142.45,234.85,0.9595,0.222576,0.489271,116.49,288.76,0.9987,0.182014,0.601578,97.80,287.71,0.9997,0.152819,0.599386,89.05,358.75,0.9977,0.139136,0.747404,84.95,425.30,0.9963,0.132727,0.886043,135.17,289.81,0.9987,0.211209,0.603770,136.26,354.72,0.9899,0.212904,0.738991,135.80,415.67,0.9914,0.212192,0.865982
1786616624.838914,0.232398,15,0.00,122.80,161.43,1.0000,0.191870,0.336305,120.81,198.95,0.9998,0.188770,0.414470,88.20,198.32,1.0000,0.137811,0.413172,67.31,242.33,0.9947,0.105179,0.504860,105.74,245.11,0.9824,0.165219,0.510654,153.43,199.57,0.9998,0.239729,0.415769,163.82,242.51,0.9704,0.255964,0.505232,143.92,235.14,0.9627,0.224880,0.489881,116.63,289.58,0.9988,0.182229,0.603290,97.88,288.46,0.9997,0.152939,0.600952,88.85,359.12,0.9979,0.138823,0.748161,84.89,425.31,0.9964,0.132640,0.886065,135.37,290.70,0.9988,0.211519,0.605627,136.42,354.84,0.9901,0.213150,0.739260,136.01,415.44,0.9915,0.212515,0.865492
1786616624.884602,0.278085,16,0.00,122.80,161.43,1.0000,0.191873,0.336320,120.77,198.95,0.9998,0.188702,0.414470,88.20,198.32,1.0000,0.137808,0.413173,67.28,242.20,0.9947,0.105129,0.504584,104.25,246.12,0.9829,0.162890,0.512743,153.34,199.57,0.9998,0.239596,0.415767,163.99,242.55,0.9719,0.256236,0.505303,144.68,235.57,0.9650,0.226070,0.490766,116.67,289.56,0.9988,0.182290,0.603255,97.89,288.43,0.9997,0.152952,0.600901,88.63,359.13,0.9979,0.138486,0.748185,84.85,425.41,0.9964,0.132573,0.886280,135.44,290.69,0.9988,0.211628,0.605608,136.32,354.80,0.9901,0.213001,0.739176,136.06,415.52,0.9914,0.212594,0.865662
1786616624.915379,0.308863,17,0.00,122.76,161.44,1.0000,0.191812,0.336335,120.69,198.94,0.9998,0.188576,0.414461,88.12,198.31,1.0000,0.137692,0.413156,67.35,242.17,0.9948,0.105236,0.504519,103.30,248.59,0.9837,0.161413,0.517886,153.26,199.57,0.9998,0.239461,0.415765,164.00,242.55,0.9735,0.256255,0.505318,147.38,238.15,0.9677,0.230284,0.496136,116.77,289.54,0.9988,0.182455,0.603209,98.12,288.43,0.9997,0.153315,0.600892,88.63,359.27,0.9979,0.138480,0.748479,84.66,426.08,0.9963,0.132283,0.887662,135.42,290.65,0.9988,0.211595,0.605527,136.31,354.72,0.9899,0.212987,0.739002,136.05,415.49,0.9913,0.212584,0.865599
