host_epoch,t_rel,frame_number,fps,nose_x,nose_y,nose_confidence,nose_x_norm,nose_y_norm,neck_x,neck_y,neck_confidence,neck_x_norm,neck_y_norm,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_norm,right_shoulder_y_norm,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_norm,right_elbow_y_norm,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_norm,right_wrist_y_norm,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_norm,left_shoulder_y_norm,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_norm,left_elbow_y_norm,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_norm,left_wrist_y_norm,mid_hip_x,mid_hip_y,mid_hip_confidence,mid_hip_x_norm,mid_hip_y_norm,right_hip_x,right_hip_y,right_hip_confidence,right_hip_x_norm,right_hip_y_norm,right_knee_x,right_knee_y,right_knee_confidence,right_knee_x_norm,right_knee_y_norm,right_ankle_x,right_ankle_y,right_ankle_confidence,right_ankle_x_norm,right_ankle_y_norm,left_hip_x,left_hip_y,left_hip_confidence,left_hip_x_norm,left_hip_y_norm,left_knee_x,left_knee_y,left_knee_confidence,left_knee_x_norm,left_knee_y_norm,left_ankle_x,left_ankle_y,left_ankle_confidence,left_ankle_x_norm,left_ankle_y_norm
1786616412.887794,-0.002614,20,0.00,296.69,159.66,1.0000,0.463585,0.332619,297.25,199.73,0.9999,0.464460,0.416102,266.97,200.64,0.9999,0.417144,0.417991,256.48,246.11,0.9495,0.400743,0.512730,256.17,285.10,0.9567,0.400261,0.593959,327.54,198.82,1.0000,0.511775,0.414212,335.38,242.38,0.9926,0.524036,0.504952,331.57,283.76,0.9930,0.518080,0.591176,296.61,292.40,0.9997,0.463449,0.609157,279.28,292.89,0.9997,0.436376,0.610188,276.83,356.33,0.9947,0.432540,0.742344,280.00,415.97,0.9932,0.437500,0.866614,313.93,291.90,0.9998,0.490521,0.608126,318.48,356.20,0.9977,0.497619,0.742091,319.71,415.60,0.9951,0.499552,0.865831
1786616412.964375,0.073967,22,0.00,296.70,159.32,1.0000,0.463592,0.331921,297.22,199.15,0.9999,0.464401,0.414898,267.00,199.65,0.9999,0.417190,0.415934,256.47,245.83,0.9492,0.400742,0.512143,256.19,285.14,0.9558,0.400290,0.594042,327.43,198.65,1.0000,0.511612,0.413862,334.61,242.37,0.9917,0.522829,0.504937,331.64,283.70,0.9923,0.518193,0.591034,296.48,292.13,0.9997,0.463254,0.608603,279.11,292.57,0.9997,0.436108,0.609515,276.78,356.25,0.9948,0.432466,0.742191,280.10,415.99,0.9934,0.437650,0.866644,313.86,291.69,0.9998,0.490400,0.607690,319.12,356.18,0.9976,0.498623,0.742045,319.75,415.60,0.9951,0.499607,0.865831
1786616413.067321,0.176912,24,0.00,296.93,158.28,1.0000,0.463953,0.329740,297.08,198.63,0.9999,0.464186,0.413811,266.97,199.03,0.9999,0.417145,0.414651,256.19,245.85,0.9504,0.400294,0.512181,256.23,285.59,0.9563,0.400361,0.594989,327.18,198.23,1.0000,0.511226,0.412971,334.21,242.36,0.9910,0.522196,0.504909,331.63,283.17,0.9918,0.518174,0.589939,296.30,292.13,0.9997,0.462965,0.608602,278.95,292.57,0.9997,0.435861,0.609527,276.89,356.81,0.9949,0.432636,0.743363,280.39,416.24,0.9935,0.438110,0.867175,313.64,291.68,0.9998,0.490069,0.607677,320.06,356.93,0.9976,0.500087,0.743604,319.80,415.72,0.9950,0.499693,0.866093
1786616413.082215,0.191807,26,0.00,296.98,158.20,1.0000,0.464027,0.329583,297.06,198.51,0.9999,0.464161,0.413555,266.96,198.84,0.9999,0.417130,0.414258,256.15,245.89,0.9513,0.400228,0.512276,256.25,285.75,0.9567,0.400390,0.595322,327.16,198.17,1.0000,0.511191,0.412853,334.00,242.37,0.9902,0.521880,0.504936,331.63,283.17,0.9911,0.518178,0.589947,296.24,292.10,0.9997,0.462871,0.608537,278.89,292.55,0.9997,0.435761,0.609482,276.80,356.81,0.9950,0.432507,0.743359,280.43,416.38,0.9935,0.438175,0.867451,313.59,291.64,0.9998,0.489981,0.607592,320.05,356.94,0.9976,0.500072,0.743620,319.77,415.86,0.9950,0.499639,0.866377
1786616413.136342,0.245934,27,0.00,297.00,158.00,1.0000,0.464070,0.329175,297.07,198.32,0.9999,0.464170,0.413159,266.98,198.61,0.9999,0.417156,0.413777,256.09,245.94,0.9527,0.400137,0.512376,256.30,285.92,0.9574,0.400476,0.595664,327.16,198.02,1.0000,0.511184,0.412542,333.83,242.39,0.9896,0.521604,0.504979,331.64,283.17,0.9908,0.518181,0.589928,296.18,292.12,0.9997,0.462775,0.608592,278.82,292.60,0.9997,0.435661,0.609578,276.78,357.04,0.9951,0.432461,0.743823,280.51,416.56,0.9936,0.438290,0.867831,313.53,291.65,0.9998,0.489890,0.607607,320.18,357.02,0.9976,0.500274,0.743794,319.76,415.97,0.9950,0.499630,0.866607
1786616413.161144,0.270735,28,0.00,297.00,157.98,1.0000,0.464060,0.329135,297.07,198.21,0.9999,0.464170,0.412939,266.98,198.44,0.9999,0.417157,0.413418,256.08,245.94,0.9528,0.400133,0.512379,256.33,286.00,0.9574,0.400508,0.595840,327.16,197.98,1.0000,0.511183,0.412461,333.82,242.39,0.9892,0.521597,0.504979,331.79,283.18,0.9906,0.518429,0.589959,296.09,292.15,0.9998,0.462640,0.608644,278.73,292.61,0.9998,0.435510,0.609594,276.72,357.07,0.9951,0.432380,0.743903,280.51,416.56,0.9937,0.438300,0.867836,313.45,291.69,0.9998,0.489770,0.607695,319.91,357.03,0.9975,0.499857,0.743815,319.63,415.97,0.9950,0.499415,0.866608
1786616413.271622,0.381214,30,0.00,296.76,157.85,1.0000,0.463683,0.328858,297.08,197.71,0.9999,0.464189,0.411902,266.98,197.62,0.9999,0.417155,0.411706,255.98,245.66,0.9529,0.399966,0.511800,256.31,285.99,0.9578,0.400492,0.595803,327.18,197.81,1.0000,0.511222,0.412099,333.77,242.43,0.9891,0.521515,0.505068,332.07,283.19,0.9907,0.518859,0.589973,295.81,292.15,0.9998,0.462205,0.608649,278.41,292.60,0.9998,0.435023,0.609580,276.47,357.42,0.9952,0.431989,0.744619,280.49,416.68,0.9937,0.438270,0.868088,313.21,291.70,0.9998,0.489388,0.607718,319.13,357.07,0.9975,0.498646,0.743897,319.36,415.95,0.9949,0.499005,0.866564
1786616413.289446,0.399037,32,0.00,296.66,157.57,1.0000,0.463525,0.328262,297.08,197.60,0.9999,0.464184,0.411657,266.98,197.47,0.9999,0.417150,0.411404,255.97,245.65,0.9529,0.399951,0.511766,256.24,285.97,0.9578,0.400372,0.595773,327.18,197.72,1.0000,0.511217,0.411910,333.78,242.37,0.9891,0.521532,0.504939,332.38,283.17,0.9908,0.519342,0.589948,295.72,291.92,0.9998,0.462069,0.608164,278.32,292.28,0.9998,0.434875,0.608923,276.46,357.23,0.9952,0.431967,0.744231,280.49,416.50,0.9938,0.438259,0.867703,313.13,291.55,0.9998,0.489262,0.607404,319.15,357.02,0.9975,0.498665,0.743785,319.37,415.95,0.9949,0.499008,0.866572
1786616413.579782,0.689373,34,12.80,296.30,156.36,1.0000,0.462969,0.325758,297.04,196.96,0.9999,0.464122,0.410334,266.90,197.04,0.9999,0.417032,0.410509,255.68,245.06,0.9536,0.399507,0.510533,256.01,285.13,0.9584,0.400013,0.594015,327.18,196.88,1.0000,0.511212,0.410159,333.76,242.15,0.9888,0.521493,0.504480,332.77,283.09,0.9908,0.519950,0.589764,295.16,291.92,0.9998,0.461191,0.608163,277.67,292.27,0.9998,0.433862,0.608892,276.45,357.69,0.9953,0.431959,0.745182,280.46,416.50,0.9939,0.438211,0.867713,312.65,291.57,0.9998,0.488519,0.607434,319.74,358.01,0.9975,0.499598,0.745862,319.52,416.41,0.9949,0.499247,0.867528
1786616413.598936,0.708528,38,12.80,296.08,156.34,1.0000,0.462633,0.325710,297.00,196.94,0.9999,0.464062,0.410297,266.82,197.03,0.9999,0.416912,0.410478,255.57,244.96,0.9541,0.399331,0.510338,255.93,284.90,0.9589,0.399888,0.593541,327.18,196.86,1.0000,0.511211,0.410116,334.02,241.94,0.9890,0.521908,0.504037,332.81,283.04,0.9910,0.520022,0.589669,295.16,291.85,0.9998,0.461195,0.608013,277.67,292.15,0.9998,0.433856,0.608653,276.43,357.57,0.9955,0.431925,0.744946,280.33,416.49,0.9941,0.438010,0.867685,312.66,291.54,0.9998,0.488534,0.607374,319.68,358.01,0.9976,0.499493,0.745858,319.52,416.53,0.9951,0.499248,0.867770
