host_epoch,t_rel,frame_number,fps,nose_x,nose_y,nose_confidence,nose_x_norm,nose_y_norm,neck_x,neck_y,neck_confidence,neck_x_norm,neck_y_norm,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_norm,right_shoulder_y_norm,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_norm,right_elbow_y_norm,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_norm,right_wrist_y_norm,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_norm,left_shoulder_y_norm,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_norm,left_elbow_y_norm,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_norm,left_wrist_y_norm,mid_hip_x,mid_hip_y,mid_hip_confidence,mid_hip_x_norm,mid_hip_y_norm,right_hip_x,right_hip_y,right_hip_confidence,right_hip_x_norm,right_hip_y_norm,right_knee_x,right_knee_y,right_knee_confidence,right_knee_x_norm,right_knee_y_norm,right_ankle_x,right_ankle_y,right_ankle_confidence,right_ankle_x_norm,right_ankle_y_norm,left_hip_x,left_hip_y,left_hip_confidence,left_hip_x_norm,left_hip_y_norm,left_knee_x,left_knee_y,left_knee_confidence,left_knee_x_norm,left_knee_y_norm,left_ankle_x,left_ankle_y,left_ankle_confidence,left_ankle_x_norm,left_ankle_y_norm
1786616852.996318,-0.007959,22,0.00,428.47,154.02,1.0000,0.669477,0.320873,435.92,196.08,0.9999,0.681121,0.408500,404.48,197.67,0.9999,0.631998,0.411812,393.86,243.25,0.9413,0.615400,0.506777,395.24,285.68,0.9263,0.617560,0.595160,467.36,194.49,1.0000,0.730245,0.405188,477.12,240.03,0.9924,0.745495,0.500056,475.04,283.07,0.9875,0.742250,0.589734,437.11,289.58,0.9998,0.682990,0.603291,418.66,289.57,0.9998,0.654154,0.603266,415.09,357.29,0.9976,0.648571,0.744356,415.43,417.94,0.9969,0.649106,0.870718,455.57,289.59,0.9998,0.711825,0.603315,461.65,359.13,0.9971,0.721323,0.748187,465.51,422.44,0.9971,0.727356,0.880090
1786616853.086065,0.081788,24,0.00,429.08,153.80,1.0000,0.670433,0.320424,435.79,195.67,0.9999,0.680918,0.407653,404.44,197.38,0.9999,0.631936,0.411206,393.77,243.21,0.9418,0.615261,0.506685,395.26,285.55,0.9261,0.617599,0.594897,467.14,193.97,1.0000,0.729901,0.404100,477.31,238.95,0.9912,0.745797,0.497821,475.37,282.19,0.9856,0.742772,0.587892,437.09,289.63,0.9998,0.682952,0.603397,418.56,289.68,0.9998,0.654006,0.603506,414.79,357.22,0.9976,0.648105,0.744217,415.43,417.97,0.9969,0.649104,0.870766,455.61,289.58,0.9998,0.711897,0.603287,461.76,358.98,0.9971,0.721504,0.747876,465.35,422.49,0.9971,0.727114,0.880191
1786616853.108331,0.104054,26,0.00,429.15,153.83,1.0000,0.670542,0.320488,435.74,195.56,0.9999,0.680849,0.407410,404.44,197.27,0.9999,0.631934,0.410979,393.70,243.13,0.9421,0.615154,0.506525,395.24,285.38,0.9264,0.617556,0.594533,467.05,193.84,1.0000,0.729763,0.403841,477.45,238.72,0.9904,0.746020,0.497334,476.16,281.93,0.9849,0.744000,0.587350,437.11,289.83,0.9998,0.682990,0.603817,418.56,290.03,0.9998,0.654004,0.604219,414.78,357.26,0.9976,0.648098,0.744293,415.46,417.97,0.9968,0.649157,0.870774,455.67,289.64,0.9998,0.711977,0.603415,461.85,358.98,0.9971,0.721643,0.747874,465.22,422.91,0.9970,0.726901,0.881066
1786616853.187487,0.183210,27,0.00,429.57,153.83,1.0000,0.671211,0.320486,435.60,195.24,0.9999,0.680621,0.406753,404.37,196.83,0.9999,0.631833,0.410058,392.94,243.11,0.9433,0.613967,0.506473,395.04,285.40,0.9272,0.617246,0.594574,466.82,193.66,1.0000,0.729410,0.403449,478.07,238.18,0.9898,0.746982,0.496217,476.69,281.62,0.9842,0.744821,0.586707,437.17,290.13,0.9998,0.683074,0.604445,418.55,290.50,0.9998,0.653977,0.605201,414.44,357.27,0.9976,0.647562,0.744310,415.37,417.97,0.9968,0.649014,0.870768,455.79,289.77,0.9998,0.712170,0.603690,461.86,359.08,0.9971,0.721655,0.748086,464.72,423.05,0.9969,0.726117,0.881362
1786616853.197674,0.193397,28,0.00,429.62,153.83,1.0000,0.671275,0.320473,435.58,195.19,0.9999,0.680594,0.406643,404.37,196.78,0.9999,0.631828,0.409956,392.87,243.09,0.9440,0.613858,0.506445,394.95,285.39,0.9273,0.617115,0.594572,466.79,193.60,1.0000,0.729360,0.403331,478.14,238.11,0.9891,0.747099,0.496055,476.87,281.53,0.9835,0.745112,0.586525,437.22,290.45,0.9998,0.683152,0.605098,418.55,290.93,0.9998,0.653977,0.606101,414.35,357.30,0.9975,0.647428,0.744380,415.37,417.94,0.9967,0.649014,0.870703,455.89,289.97,0.9998,0.712327,0.604094,461.92,359.15,0.9971,0.721743,0.748223,464.72,423.47,0.9968,0.726118,0.882229
1786616853.229278,0.225000,29,0.00,429.65,153.83,1.0000,0.671323,0.320473,435.50,195.15,0.9999,0.680471,0.406567,404.31,196.72,0.9999,0.631741,0.409826,392.76,243.08,0.9437,0.613694,0.506426,394.89,285.29,0.9270,0.617012,0.594344,466.69,193.59,1.0000,0.729201,0.403308,478.45,238.06,0.9884,0.747584,0.495963,477.30,281.48,0.9827,0.745782,0.586408,437.28,291.06,0.9998,0.683254,0.606372,418.55,291.58,0.9998,0.653987,0.607464,414.33,357.32,0.9974,0.647398,0.744408,415.37,417.86,0.9966,0.649020,0.870543,456.01,290.53,0.9998,0.712520,0.605280,461.99,359.15,0.9970,0.721860,0.748225,464.67,423.55,0.9966,0.726040,0.882390
1786616853.273974,0.269697,30,0.00,429.76,153.49,1.0000,0.671497,0.319767,435.47,195.14,0.9999,0.680422,0.406538,404.27,196.71,0.9999,0.631667,0.409810,392.77,243.07,0.9423,0.613696,0.506397,394.84,285.27,0.9253,0.616941,0.594304,466.67,193.57,1.0000,0.729176,0.403267,478.83,238.04,0.9881,0.748169,0.495915,477.75,281.48,0.9821,0.746486,0.586424,437.35,291.44,0.9998,0.683363,0.607169,418.55,291.94,0.9998,0.653988,0.608209,413.87,357.32,0.9974,0.646668,0.744416,415.37,417.85,0.9966,0.649009,0.870512,456.15,290.94,0.9998,0.712738,0.606130,462.07,358.97,0.9969,0.721988,0.747854,464.62,423.40,0.9965,0.725972,0.882082
1786616853.277952,0.273675,31,0.00,429.78,153.46,1.0000,0.671527,0.319713,435.45,195.07,0.9999,0.680383,0.406389,404.26,196.64,0.9999,0.631663,0.409657,392.77,243.06,0.9414,0.613697,0.506366,394.71,285.19,0.9244,0.616731,0.594143,466.63,193.50,1.0000,0.729104,0.403121,478.89,238.01,0.9876,0.748265,0.495849,477.84,281.44,0.9815,0.746628,0.586333,437.47,291.60,0.9998,0.683542,0.607500,418.62,292.10,0.9998,0.654096,0.608543,413.76,357.40,0.9973,0.646497,0.744588,415.36,417.81,0.9965,0.649000,0.870428,456.31,291.10,0.9998,0.712988,0.606457,462.07,358.93,0.9968,0.721989,0.747763,464.63,423.37,0.9964,0.725986,0.882026
1786616853.391955,0.387678,32,0.00,429.84,153.51,1.0000,0.671623,0.319803,435.39,194.81,0.9999,0.680303,0.405849,404.24,196.43,0.9999,0.631621,0.409233,392.96,243.00,0.9408,0.614000,0.506260,394.50,284.72,0.9242,0.616409,0.593169,466.55,193.18,1.0000,0.728984,0.402465,478.47,238.02,0.9872,0.747610,0.495871,477.90,281.39,0.9807,0.746715,0.586221,437.37,291.59,0.9998,0.683389,0.607484,418.51,292.09,0.9998,0.653922,0.608520,413.66,357.43,0.9972,0.646341,0.744637,415.36,417.60,0.9964,0.649006,0.870001,456.23,291.10,0.9998,0.712855,0.606448,461.76,358.76,0.9967,0.721503,0.747426,464.48,423.11,0.9962,0.725752,0.881476
1786616853.395281,0.391004,34,0.00,429.84,153.52,1.0000,0.671626,0.319832,435.38,194.81,0.9999,0.680288,0.405851,404.22,196.43,0.9999,0.631589,0.409234,392.92,243.00,0.9397,0.613941,0.506243,394.50,284.58,0.9235,0.616408,0.592871,466.55,193.18,1.0000,0.728987,0.402468,478.52,237.97,0.9870,0.747683,0.495773,477.96,281.33,0.9807,0.746819,0.586114,437.41,291.82,0.9998,0.683460,0.607953,418.53,292.37,0.9998,0.653948,0.609109,413.66,357.43,0.9972,0.646340,0.744637,415.40,417.60,0.9964,0.649060,0.870002,456.30,291.26,0.9998,0.712973,0.606797,461.83,358.75,0.9967,0.721606,0.747405,464.48,423.11,0.9962,0.725744,0.881472
