host_epoch,t_rel,frame_number,fps,nose_x,nose_y,nose_confidence,nose_x_norm,nose_y_norm,neck_x,neck_y,neck_confidence,neck_x_norm,neck_y_norm,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_norm,right_shoulder_y_norm,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_norm,right_elbow_y_norm,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_norm,right_wrist_y_norm,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_norm,left_shoulder_y_norm,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_norm,left_elbow_y_norm,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_norm,left_wrist_y_norm,mid_hip_x,mid_hip_y,mid_hip_confidence,mid_hip_x_norm,mid_hip_y_norm,right_hip_x,right_hip_y,right_hip_confidence,right_hip_x_norm,right_hip_y_norm,right_knee_x,right_knee_y,right_knee_confidence,right_knee_x_norm,right_knee_y_norm,right_ankle_x,right_ankle_y,right_ankle_confidence,right_ankle_x_norm,right_ankle_y_norm,left_hip_x,left_hip_y,left_hip_confidence,left_hip_x_norm,left_hip_y_norm,left_knee_x,left_knee_y,left_knee_confidence,left_knee_x_norm,left_knee_y_norm,left_ankle_x,left_ankle_y,left_ankle_confidence,left_ankle_x_norm,left_ankle_y_norm
1786616115.173398,-0.035355,18,0.00,196.60,175.40,1.0000,0.307183,0.365425,219.06,202.14,0.9998,0.342284,0.421123,225.01,203.49,0.9998,0.351572,0.423931,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,213.12,200.79,1.0000,0.332995,0.418316,212.36,240.64,0.9988,0.331809,0.501340,200.59,284.66,0.9970,0.313428,0.593034,216.73,288.59,0.9994,0.338636,0.601230,225.09,289.48,0.9994,0.351697,0.603086,229.75,342.21,0.6728,0.358978,0.712933,239.36,404.30,0.8934,0.373997,0.842284,208.37,287.70,0.9998,0.325576,0.599373,185.44,345.57,0.9702,0.289750,0.719947,160.43,402.32,0.9924,0.250674,0.838162
1786616115.286195,0.077442,20,0.00,193.72,175.49,1.0000,0.302694,0.365602,214.47,202.61,0.9998,0.335114,0.422102,221.76,204.12,0.9998,0.346496,0.425256,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,207.19,201.10,1.0000,0.323731,0.418949,203.43,242.09,0.9980,0.317855,0.504345,194.69,286.97,0.9959,0.304198,0.597855,212.41,288.91,0.9994,0.331886,0.601897,220.62,289.84,0.9994,0.344714,0.603831,228.74,343.57,0.6839,0.357403,0.715761,238.16,404.35,0.8964,0.372122,0.842386,204.20,287.98,0.9998,0.319058,0.599963,184.89,345.78,0.9705,0.288898,0.720383,161.55,403.77,0.9924,0.252423,0.841187
1786616115.301749,0.092996,23,0.00,185.55,175.83,1.0000,0.289922,0.366315,204.18,203.06,0.9998,0.319028,0.423039,213.56,204.26,0.9998,0.333683,0.425538,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,194.80,201.86,1.0000,0.304372,0.420540,191.74,246.66,0.9976,0.299595,0.513881,181.00,290.58,0.9952,0.282806,0.605384,201.78,289.27,0.9993,0.315274,0.602637,210.07,289.86,0.9993,0.328238,0.603865,220.84,343.80,0.6858,0.345068,0.716251,237.60,403.78,0.8972,0.371256,0.841207,193.48,288.68,0.9998,0.302310,0.601409,182.57,346.99,0.9696,0.285264,0.722893,161.72,404.86,0.9924,0.252690,0.843451
1786616115.388785,0.180032,25,0.00,178.11,175.69,1.0000,0.278302,0.366026,193.77,203.42,0.9998,0.302770,0.423801,203.05,204.26,0.9998,0.317265,0.425544,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,184.50,202.59,1.0000,0.288276,0.422058,178.28,248.72,0.9971,0.278559,0.518158,168.84,291.86,0.9938,0.263813,0.608049,191.16,288.15,0.9993,0.298680,0.600310,198.78,288.25,0.9993,0.310601,0.600528,208.09,343.74,0.6804,0.325141,0.716122,234.39,398.51,0.8968,0.366230,0.830236,183.53,288.04,0.9998,0.286759,0.600091,174.76,347.31,0.9681,0.273067,0.723556,162.34,405.84,0.9925,0.253653,0.845504
1786616115.402347,0.193594,26,0.00,174.92,175.85,1.0000,0.273319,0.366345,191.89,203.59,0.9998,0.299828,0.424154,203.25,204.61,0.9998,0.317580,0.426264,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,180.53,202.58,1.0000,0.282076,0.422044,172.78,248.52,0.9964,0.269969,0.517753,163.46,292.34,0.9917,0.255399,0.609034,188.82,288.08,0.9992,0.295031,0.600170,197.05,288.19,0.9992,0.307887,0.600388,203.22,344.01,0.6885,0.317531,0.716694,232.07,395.25,0.9005,0.362603,0.823438,180.59,287.98,0.9997,0.282174,0.599952,173.99,347.45,0.9664,0.271864,0.723853,162.32,406.02,0.9925,0.253627,0.845874
1786616115.493870,0.285117,28,0.00,168.27,176.24,1.0000,0.262919,0.367161,186.36,204.76,0.9997,0.291190,0.426583,201.32,207.09,0.9997,0.314555,0.431435,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,171.41,202.43,1.0000,0.267825,0.421731,161.33,247.94,0.9961,0.252081,0.516549,148.88,291.92,0.9902,0.232623,0.608160,181.36,288.09,0.9991,0.283377,0.600181,190.42,288.38,0.9991,0.297529,0.600798,189.72,344.02,0.6997,0.296430,0.716714,221.99,388.49,0.9038,0.346866,0.809364,172.30,287.79,0.9997,0.269225,0.599563,171.02,346.89,0.9664,0.267218,0.722695,162.28,407.10,0.9925,0.253557,0.848127
1786616115.510516,0.301763,29,0.00,166.91,177.20,0.9999,0.260794,0.369174,184.82,205.67,0.9997,0.288779,0.428485,201.58,208.84,0.9997,0.314965,0.435090,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,168.06,202.50,1.0000,0.262593,0.421879,156.13,248.21,0.9956,0.243948,0.517108,140.50,291.76,0.9878,0.219534,0.607843,178.58,288.07,0.9989,0.279024,0.600148,188.67,288.39,0.9989,0.294798,0.600821,183.10,344.03,0.6864,0.286092,0.716723,201.02,390.11,0.8886,0.314098,0.812724,168.48,287.75,0.9997,0.263250,0.599476,169.32,346.58,0.9626,0.264556,0.722051,162.26,407.12,0.9905,0.253538,0.848165
1786616115.559840,0.351088,30,0.00,164.01,177.23,0.9999,0.256265,0.369236,181.50,206.16,0.9997,0.283598,0.429495,198.96,209.74,0.9997,0.310876,0.436963,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,164.05,202.57,1.0000,0.256321,0.422028,151.53,248.20,0.9954,0.236772,0.517092,132.80,291.72,0.9860,0.207499,0.607759,176.30,288.12,0.9987,0.275469,0.600247,186.89,288.48,0.9987,0.292012,0.600996,177.57,344.06,0.6746,0.277448,0.716798,192.84,390.54,0.8725,0.301318,0.813625,165.71,287.76,0.9997,0.258925,0.599499,166.88,346.57,0.9594,0.260743,0.722012,162.27,407.51,0.9878,0.253545,0.848977
1786616115.587738,0.378985,31,0.00,160.43,177.38,0.9999,0.250672,0.369552,179.14,206.41,0.9996,0.279912,0.430011,197.21,209.95,0.9996,0.308147,0.437397,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,161.07,202.86,1.0000,0.251676,0.422624,148.25,248.27,0.9954,0.231634,0.517233,127.52,291.13,0.9855,0.199249,0.606522,173.55,288.24,0.9985,0.271179,0.600506,184.13,288.49,0.9985,0.287707,0.601024,172.30,343.69,0.6733,0.269225,0.716024,185.35,390.09,0.8639,0.289607,0.812693,162.98,287.99,0.9996,0.254651,0.599988,165.09,346.41,0.9579,0.257945,0.721696,162.02,407.55,0.9865,0.253158,0.849068
1786616115.603413,0.394660,32,0.00,158.52,177.85,0.9998,0.247680,0.370531,177.42,206.45,0.9996,0.277218,0.430107,195.83,210.04,0.9996,0.305977,0.437581,0.00,0.00,0.0000,0.000000,0.000000,0.00,0.00,0.0000,0.000000,0.000000,159.01,202.86,1.0000,0.248459,0.422633,145.13,248.23,0.9953,0.226759,0.517140,123.26,288.84,0.9844,0.192597,0.601752,170.49,288.32,0.9984,0.266383,0.600659,181.26,288.50,0.9984,0.283222,0.601046,171.89,343.69,0.6917,0.268571,0.716021,185.72,390.30,0.8683,0.290180,0.813131,159.71,288.13,0.9996,0.249544,0.600271,162.68,346.73,0.9601,0.254187,0.722355,162.02,407.52,0.9869,0.253154,0.849006
